subj_idx,rt,response,condition,session,cond_v
DSPD1003,0.664,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.457,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.457,1,go,1,go1
DSPD1003,0.436,1,go,1,go1
DSPD1003,0.368,1,go,1,go1
DSPD1003,0.37,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.441,1,go,1,go1
DSPD1003,0.39,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.395,1,go,1,go1
DSPD1003,0.644,1,go,1,go1
DSPD1003,0.412,1,go,1,go1
DSPD1003,0.448,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.434,1,go,1,go1
DSPD1003,0.516,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.608,1,go,1,go1
DSPD1003,0.508,1,go,1,go1
DSPD1003,0.402,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.417,1,go,1,go1
DSPD1003,0.526,1,go,1,go1
DSPD1003,0.39,1,go,1,go1
DSPD1003,0.766,1,go,1,go1
DSPD1003,0.519,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.432,1,go,1,go1
DSPD1003,0.315,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.469,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.354,1,go,1,go1
DSPD1003,0.91,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.535,1,go,1,go1
DSPD1003,1.075,1,go,1,go1
DSPD1003,0.442,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.503,1,go,1,go1
DSPD1003,0.517,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.52,1,go,1,go1
DSPD1003,0.54,1,go,1,go1
DSPD1003,0.431,1,go,1,go1
DSPD1003,0.767,1,go,1,go1
DSPD1003,0.469,1,go,1,go1
DSPD1003,0.466,1,go,1,go1
DSPD1003,0.868,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.508,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.392,1,go,1,go1
DSPD1003,0.497,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.589,1,go,1,go1
DSPD1003,1.038,1,go,1,go1
DSPD1003,0.585,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.381,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.498,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.377,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.508,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.557,1,go,1,go1
DSPD1003,0.475,1,go,1,go1
DSPD1003,0.392,1,go,1,go1
DSPD1003,0.426,1,go,1,go1
DSPD1003,0.459,1,go,1,go1
DSPD1003,0.483,1,go,1,go1
DSPD1003,0.417,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.603,1,go,1,go1
DSPD1003,0.527,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.46,1,go,1,go1
DSPD1003,0.585,1,go,1,go1
DSPD1003,0.553,1,go,1,go1
DSPD1003,0.956,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.421,1,go,1,go1
DSPD1003,0.382,1,go,1,go1
DSPD1003,0.535,1,go,1,go1
DSPD1003,0.492,1,go,1,go1
DSPD1003,0.451,1,go,1,go1
DSPD1003,0.449,1,go,1,go1
DSPD1003,0.64,1,go,1,go1
DSPD1003,0.6,1,go,1,go1
DSPD1003,0.77,1,go,1,go1
DSPD1003,0.456,1,go,1,go1
DSPD1003,0.461,1,go,1,go1
DSPD1003,0.49,1,go,1,go1
DSPD1003,1.064,1,go,1,go1
DSPD1003,0.38,1,go,1,go1
DSPD1003,0.504,1,go,1,go1
DSPD1003,0.612,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.659,1,go,1,go1
DSPD1003,0.679,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.326,1,go,1,go1
DSPD1003,0.356,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.311,1,go,1,go1
DSPD1003,0.381,1,go,1,go1
DSPD1003,-1,0,nogo,1,nogo1
DSPD1003,0.388,1,go,1,go1
